,名称,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,演员颜值
44,萨利机长,克林特·伊斯特伍德,"['汤姆·汉克斯', '艾伦·艾克哈特', '劳拉·琳妮', '杰瑞·费拉拉', '安娜·冈']",8.3,['2016'],"['剧情', '传记']",96,215704,英语, 美国,56.43666666666667
45,遗愿清单,罗伯·莱纳,"['杰克·尼科尔森', '摩根·弗里曼', '西恩·海耶斯', '贝弗利·陶德', '罗伯·莫洛']",8.6,['2007'],"['剧情', '喜剧', '冒险']",97,214211,英语, 美国,28.74
46,神探夏洛克：可恶的新娘,道格拉斯·麦金农,"['本尼迪克特·康伯巴奇', '马丁·弗瑞曼', '尤娜·斯塔布斯', '鲁珀特·格雷夫斯', '马克·加蒂斯']",7.0,['2016'],"['剧情', '悬疑', '犯罪']",90,189048,英语, 英国,59.74
47,满城尽带黄金甲,张艺谋,"['周润发', '巩俐', '刘烨', '周杰伦', '陈瑾']",5.5,['2006'],"['剧情', '动作', '爱情', '古装']",114,168123,汉语普通话, 中国大陆,62.05666666666667
48,摩登时代,查理·卓别林,"['查理·卓别林', '宝莲·高黛', '亨利·伯格曼', '蒂尼·桑福德', '切斯特·康克林']",9.3,['1936'],"['剧情', '喜剧', '爱情']",87,167955,英语, 美国,45.52
49,沉睡魔咒,罗伯特·斯特罗姆伯格,"['安吉丽娜·朱莉', '艾丽·范宁', '沙尔托·科普雷', '莱丝利·曼维尔', '艾美达·斯丹顿']",7.1,['2014'],"['奇幻', '冒险']",98,195660,英语, 美国,54.45000000000001
50,找到你,吕乐,"['姚晨', '马伊琍', '袁文康', '吴昊宸', '王梓尘']",7.4,['2018'],"['剧情', '家庭']",102,162280,汉语普通话, 中国大陆,61.38333333333333
51,驯龙高手3,迪恩·德布洛斯,"['杰伊·巴鲁切尔', '亚美莉卡·费雷拉', 'F·默里·亚伯拉罕', '凯特·布兰切特', '杰拉德·巴特勒']",7.4,['2019'],"['动画', '奇幻', '冒险']",104,174633,英语, 美国,52.04
52,罗生门,黑泽明,"['三船敏郎', '千秋实', '京町子', '森雅之', '志村乔']",8.8,['1950'],"['剧情', '悬疑', '犯罪']",88,192645,日语, 日本,46.03333333333333
53,朱诺,贾森·雷特曼,"['艾伦·佩吉', '迈克尔·塞拉', '詹妮弗·加纳', '杰森·贝特曼', '艾莉森·珍妮']",7.9,['2007'],"['剧情', '喜剧', '爱情']",96,206113,英语, 美国,67.82333333333334
54,诛仙,程小东,"['肖战', '李沁', '孟美岐', '唐艺昕', '刘端端']",4.9,['2019'],"['爱情', '奇幻', '古装']",101,268660,汉语普通话, 中国大陆,74.55
55,我，机器人,亚历克斯·普罗亚斯,"['威尔·史密斯', '布丽姬·穆娜', '艾伦·图代克', '布鲁斯·格林伍德', 'Adrian Ricard']",8.1,['2004'],"['动作', '科幻', '悬疑', '惊悚']",115,198277,英语, 美国,49.47
56,上帝之城,费尔南多·梅里尔斯,"['亚历桑德雷·罗德里格斯', '莱安德鲁·菲尔米诺', '菲利佩·哈根森', '道格拉斯·席尔瓦', '乔纳森·哈根森']",8.9,['2002'],"['剧情', '犯罪']",130,211748,葡萄牙语, 巴西,37.830000000000005
57,晚秋,金泰勇,"['汤唯', '玄彬', '金俊成', '詹姆斯·C·伯恩斯']",7.0,['2010'],['剧情'],115,204782,英语, 韩国,67.57333333333334
58,伯德小姐,格蕾塔·葛韦格,"['西尔莎·罗南', '劳里·梅特卡夫', '崔西·莱茨', '卢卡斯·赫奇斯', '蒂莫西·柴勒梅德']",7.9,['2017'],"['剧情', '家庭']",93,212941,英语, 美国,69.23666666666666
59,冰川时代4,麦克·特米尔,"['阿兹·安萨里', '乔·贝哈', '克里斯托弗·坎贝尔', '阿兰·夏巴', '伊丝特尔·迪恩']",8.1,['2012'],"['喜剧', '动画', '冒险']",88,179606,英语, 美国,59.13333333333333
60,万万没想到,易小星,"['白客', '杨子姗', '陈柏霖', '马天宇', '刘循子墨']",5.6,['2015'],"['喜剧', '奇幻', '冒险', '古装']",95,164568,汉语普通话, 中国大陆,66.36666666666666
61,生化危机：终章,保罗·安德森,"['米拉·乔沃维奇', '伊恩·格雷', '艾丽·拉特', '鲁比·罗丝', '李准基']",6.5,['2016'],"['动作', '科幻', '恐怖']",106,185114,英语, 美国,50.416666666666664
62,狩猎,托马斯·温特伯格,"['麦斯·米科尔森', '托玛斯·博·拉森', '安妮卡·韦德科普', '拉丝·弗格斯托姆', '苏西·沃德']",9.1,['2012'],['剧情'],115,213828,丹麦语, 丹麦,49.333333333333336
63,河东狮吼,马伟豪,"['张柏芝', '古天乐', '范冰冰', '黄伟文', '许绍雄']",6.8,['2002'],"['喜剧', '爱情', '古装']",100,155751,粤语, 中国大陆,53.42333333333334
